Moive_ID,Movie Rating,Duration,Gross_M,Worldwide LT Gross,Metascore,movie_age,Actionn,Comedy,Drama,Romance,Horror,Sci_fi,Family,Vote_Catg
World War Z_2013,7,116,202,540455876,63,10,1,0,0,0,1,0,0,Adequate
Brave_2012,7.1,93,237,538983207,69,11,0,1,0,0,0,0,0,Adequate
The Empire Strikes Back_1980,8.7,124,290,538375067,82,43,1,0,0,0,0,0,0,High
The Simpsons Movie_2007,7.3,87,183,536414293,80,16,0,1,0,0,0,0,0,Adequate
The Revenant_2015,8,156,183,532950503,76,8,1,0,1,0,0,0,0,Adequate
The Meg_2018,5.6,113,143,530517320,46,5,1,0,0,0,1,1,0,Adequate
Ralph Breaks the Internet_2018,7,112,201,529323962,71,5,0,1,0,0,0,0,0,Adequate
Hotel Transylvania 3: Summer Vacation_2018,6.3,97,167,528583774,54,5,0,1,0,0,0,0,0,Satisfactory
The Boss Baby_2017,6.3,97,175,527965936,50,6,0,1,0,0,0,0,0,Adequate
Dunkirk_2017,7.8,106,188,527016307,94,6,1,0,1,0,0,0,0,Adequate
Godzilla_2014,6.4,123,200,524976069,62,9,1,0,0,0,0,1,0,Adequate
How to Train Your Dragon: The Hidden World_2019,7.4,104,160,524580403,71,4,1,0,0,0,0,0,0,Adequate
Sherlock Holmes_2009,7.6,128,209,524028679,57,14,1,0,0,0,0,0,0,Adequate
Meet the Fockers_2004,6.3,115,279,522657936,41,19,0,1,0,1,0,0,0,Adequate
WALL-+E_2008,8.4,98,223,521311890,95,15,0,0,0,0,0,0,1,High
Kung Fu Panda 3_2016,7.1,95,143,521170825,66,7,1,0,0,0,0,0,0,Adequate
Terminator 2: Judgment Day_1991,8.6,137,204,520881154,75,32,1,0,0,0,0,1,0,High
Ant-Man_2015,7.3,117,180,519311965,64,8,1,1,0,0,0,0,0,Adequate
The Grinch_2018,6.3,85,270,512858819,51,5,0,1,0,0,0,0,1,Satisfactory
Venom: Let There Be Carnage_2021,5.9,97,213,506863592,49,2,1,0,0,0,0,1,0,Adequate
Ghost_1990,7.1,127,217,505703557,52,33,0,0,1,1,0,0,0,Adequate
Aladdin_1992,8,90,217,504050219,86,31,0,1,0,0,0,0,0,Adequate
Rio 2_2014,6.3,101,131,498781117,49,9,0,1,0,0,0,0,0,Satisfactory
Troy_2004,7.3,163,133,497409852,56,19,0,0,1,0,0,0,0,Adequate
Toy Story 2_1999,7.9,92,245,497375381,88,24,0,1,0,0,0,0,0,Adequate
How to Train Your Dragon_2010,8.1,98,217,494879471,75,13,1,0,0,0,0,0,0,Adequate
Twister_1996,6.4,113,241,494580615,68,27,1,0,0,0,0,0,0,Adequate
Oz the Great and Powerful_2013,6.3,130,234,493311825,44,10,0,0,0,0,0,0,1,Adequate
Clash of the Titans_2010,5.8,106,163,493214993,39,13,1,0,0,0,0,0,0,Adequate
Maleficent: Mistress of Evil_2019,6.6,119,113,491730089,43,4,0,0,0,0,0,0,1,Adequate
War for the Planet of the Apes_2017,7.4,140,146,490719763,82,6,1,0,1,0,0,0,0,Adequate
Shrek_2001,7.9,90,267,488351320,84,22,0,1,0,0,0,0,0,Adequate
Mr. & Mrs. Smith_2005,6.5,120,186,487287646,55,18,1,1,0,0,0,0,0,Adequate
Angels & Demons_2009,6.7,138,133,485930816,48,14,1,0,0,0,0,0,0,Adequate
Teenage Mutant Ninja Turtles_2014,5.8,101,191,485004754,31,9,1,1,0,0,0,0,0,Adequate
Bruce Almighty_2003,6.8,101,242,484592874,46,20,0,1,0,0,0,0,0,Adequate
Rio_2011,6.9,96,143,483866518,63,12,0,1,0,0,0,0,0,Adequate
Saving Private Ryan_1998,8.6,169,216,482349603,91,25,0,0,1,0,0,0,0,High
Rise of the Planet of the Apes_2011,7.6,105,176,481800873,68,12,1,0,1,0,0,1,0,Adequate
Home Alone_1990,7.7,103,285,476684675,63,33,0,1,0,0,0,0,1,Adequate
Hotel Transylvania 2_2015,6.6,89,169,475186706,44,8,0,1,0,0,0,0,0,Adequate
Star Wars: Episode VI - Return of the Jedi_1983,8.3,131,309,475106177,58,40,1,0,0,0,0,0,0,High
Charlie and the Chocolate Factory_2005,6.7,115,206,474968763,72,18,0,1,0,0,0,0,1,Adequate
Indiana Jones and the Last Crusade_1989,8.2,127,197,474171806,65,34,1,0,0,0,0,0,0,Adequate
Jaws_1975,8.1,124,260,474141300,87,48,0,0,0,0,0,0,0,Adequate
San Andreas_2015,6.1,114,155,474009154,43,8,1,0,0,0,0,0,0,Adequate
It Chapter Two_2019,6.5,169,211,473122525,58,4,0,0,1,0,1,0,0,Adequate
Wreck-It Ralph_2012,7.7,101,189,471222889,72,11,0,1,0,0,0,0,0,Adequate
Godzilla vs. Kong_2021,6.3,113,100,470067014,59,2,1,0,0,0,0,1,0,Adequate
The Hangover_2009,7.7,100,277,469328079,73,14,0,1,0,0,0,0,0,Adequate
The Lego Movie_2014,7.7,100,257,468266122,83,9,1,0,0,0,0,0,0,Adequate
Bumblebee_2018,6.7,114,127,467989645,66,5,1,0,0,0,0,1,0,Adequate
Star Trek Into Darkness_2013,7.7,132,228,467365246,72,10,1,0,0,0,0,1,0,Adequate
The Matrix_1999,8.7,136,171,467222728,73,24,1,0,0,0,0,1,0,High
Gladiator_2000,8.5,155,187,465380802,67,23,1,0,1,0,0,0,0,High
